name,lat,lng,type,region,base_lake
Yercaud Lake,11.7833,78.2167,Lake,India_Tamil_Nadu,Yercaud Lake
Vembanad Lake,9.6,76.4,Lake,India_Kerala,Vembanad Lake
Ashtamudi Lake,8.9667,76.5833,Lake,India_Kerala,Ashtamudi Lake
Sasthamkotta Lake,9.0,76.65,Lake,India_Kerala,Sasthamkotta Lake
Powai Lake,19.1333,72.9167,Lake,India_Maharashtra,Powai Lake
Lonar Lake,19.9833,76.5167,Lake,India_Maharashtra,Lonar Lake
Bhandardara Lake,19.5333,73.75,Lake,India_Maharashtra,Bhandardara Lake
Nakki Lake,24.5967,72.7181,Lake,India_Rajasthan,Nakki Lake
Ana Sagar Lake,26.4667,74.6333,Lake,India_Rajasthan,Ana Sagar Lake
Nainital Lake,29.3919,79.4542,Lake,India_Uttarakhand,Nainital Lake
Lake Superior,47.7,-87.0,Lake,USA_Great_Lakes,Lake Superior
Lake Huron,45.0,-82.0,Lake,USA_Great_Lakes,Lake Huron
Lake Michigan,43.5,-87.0,Lake,USA_Great_Lakes,Lake Michigan
Lake Erie,42.0,-81.0,Lake,USA_Great_Lakes,Lake Erie
Lake Ontario,43.7,-77.9,Lake,USA_Great_Lakes,Lake Ontario
Lake Powell,37.0,-111.0,Reservoir,USA_Utah,Lake Powell
Lake Mead,36.1,-114.4,Reservoir,USA_Nevada,Lake Mead
Great Salt Lake,41.0,-112.5,Lake,USA_Utah,Great Salt Lake
Yellowstone Lake,44.4,-110.3,Lake,USA_Wyoming,Yellowstone Lake
Lake George,43.4,-73.7,Lake,USA_New_York,Lake George
Finger Lakes Seneca,42.6,-76.9,Lake,USA_New_York,Finger Lakes Seneca
Finger Lakes Cayuga,42.7,-76.7,Lake,USA_New_York,Finger Lakes Cayuga
Lake Champlain,44.5,-73.2,Lake,USA_Vermont,Lake Champlain
Moosehead Lake,45.6,-69.7,Lake,USA_Maine,Moosehead Lake
Lake Winnebago,44.0,-88.4,Lake,USA_Wisconsin,Lake Winnebago
Lake Mendota,43.1,-89.4,Lake,USA_Wisconsin,Lake Mendota
Lake Pontchartrain,30.2,-90.1,Lake,USA_Louisiana,Lake Pontchartrain
Lake Okeechobee,26.9,-80.8,Lake,USA_Florida,Lake Okeechobee
Great Bear Lake,65.8,-121.0,Lake,Canada_Arctic,Great Bear Lake
Great Slave Lake,61.5,-114.0,Lake,Canada_Arctic,Great Slave Lake
Lake Winnipeg,52.1,-97.2,Lake,Canada_Manitoba,Lake Winnipeg
Lake Athabasca,59.0,-109.0,Lake,Canada_Saskatchewan,Lake Athabasca
Reindeer Lake,57.5,-102.5,Lake,Canada_Saskatchewan,Reindeer Lake
Lake Manitoba,51.0,-98.5,Lake,Canada_Manitoba,Lake Manitoba
Lake of the Woods,49.4,-94.6,Lake,Canada_Ontario,Lake of the Woods
Lake Nipigon,49.8,-88.3,Lake,Canada_Ontario,Lake Nipigon
Lake Simcoe,44.4,-79.3,Lake,Canada_Ontario,Lake Simcoe
Moraine Lake,51.3333,-116.1833,Lake,Canada_Alberta,Moraine Lake
Lake Minnewanka,51.25,-115.35,Lake,Canada_Alberta,Lake Minnewanka
Maligne Lake,52.6667,-117.55,Lake,Canada_Alberta,Maligne Lake
Emerald Lake,51.4333,-116.5333,Lake,Canada_British_Columbia,Emerald Lake
Garibaldi Lake,49.9167,-123.0,Lake,Canada_British_Columbia,Garibaldi Lake
Lake Ladoga,61.1,31.5,Lake,Russia,Lake Ladoga
Lake Onega,61.6,35.7,Lake,Russia,Lake Onega
Lake Vänern,58.9,13.1,Lake,Sweden,Lake Vänern
Lake Vättern,58.4,14.6,Lake,Sweden,Lake Vättern
Lake Saimaa,61.4,28.2,Lake,Finland,Lake Saimaa
Lake Inari,68.9,27.0,Lake,Finland,Lake Inari
Sognefjord,61.1,7.2,Fjord,Norway,Sognefjord
Geirangerfjord,62.1,7.0,Fjord,Norway,Geirangerfjord
Lake Constance,47.6,9.4,Lake,Germany_Switzerland_Austria,Lake Constance
Lake Garda,45.6,10.7,Lake,Italy,Lake Garda
Lake Maggiore,45.95,8.65,Lake,Italy_Switzerland,Lake Maggiore
Lake Annecy,45.8667,6.1333,Lake,France,Lake Annecy
Lake Bourget,45.7333,5.8667,Lake,France,Lake Bourget
Loch Katrine,56.2667,-4.5833,Lake,Scotland,Loch Katrine
Loch Lomond,56.1,-4.6,Lake,Scotland,Loch Lomond
Windermere,54.35,-2.95,Lake,England,Windermere
Lake Zurich,47.1667,8.8333,Lake,Switzerland,Lake Zurich
Hallstätter See,47.55,13.65,Lake,Austria,Hallstätter See
Neusiedler See,47.7,16.8,Lake,Austria_Hungary,Neusiedler See
Caspian Sea,42.5,51.0,Sea,Russia_Iran_Kazakhstan,Caspian Sea
Aral Sea,45.0,60.0,Sea,Kazakhstan_Uzbekistan,Aral Sea
Lake Balkhash,46.8,74.6,Lake,Kazakhstan,Lake Balkhash
Issyk-Kul,42.4,77.2,Lake,Kyrgyzstan,Issyk-Kul
Lake Urmia,37.7,45.3,Lake,Iran,Lake Urmia
Sea of Galilee,32.8,35.6,Lake,Israel,Sea of Galilee
Lake Van,38.6,43.0,Lake,Turkey,Lake Van
Qinghai Lake,36.85,100.25,Lake,China,Qinghai Lake
Dongting Lake,29.0,113.0,Lake,China,Dongting Lake
Poyang Lake,29.0,116.2,Lake,China,Poyang Lake
Taihu Lake,31.2,120.1,Lake,China,Taihu Lake
West Lake,30.25,120.15,Lake,China,West Lake
Lake Biwa,35.35,136.1,Lake,Japan,Lake Biwa
Lake Towada,40.45,140.9,Lake,Japan,Lake Towada
Lake Ashi,35.2,139.0,Lake,Japan,Lake Ashi
Lake Tazawa,39.7167,140.6667,Lake,Japan,Lake Tazawa
Tonle Sap,12.9,104.0,Lake,Cambodia,Tonle Sap
Taal Lake,14.0,121.0,Lake,Philippines,Taal Lake
Danau Toba,2.6,98.8,Lake,Indonesia,Danau Toba
Lake Victoria,-1.0,33.0,Lake,East_Africa,Lake Victoria
Lake Tanganyika,-6.0,29.5,Lake,East_Africa,Lake Tanganyika
Lake Turkana,3.6,36.1,Lake,East_Africa,Lake Turkana
Lake Albert,1.65,31.0,Lake,East_Africa,Lake Albert
Lake Edward,-0.35,29.6,Lake,East_Africa,Lake Edward
Lake Kivu,-2.3,29.0,Lake,East_Africa,Lake Kivu
Lake Naivasha,-0.7647,36.3575,Lake,East_Africa,Lake Naivasha
Lake Nakuru,-0.3647,36.0575,Lake,East_Africa,Lake Nakuru
Lake Chad,13.0,14.0,Lake,Chad_Nigeria,Lake Chad
Lake Volta,7.0,-0.5,Lake,Ghana,Lake Volta
Lake Kariba,-16.5,28.8,Lake,Zambia_Zimbabwe,Lake Kariba
Lake Nasser,22.5,32.0,Reservoir,Egypt_Sudan,Lake Nasser
Lake Tana,12.0,37.0,Lake,Ethiopia,Lake Tana
Lake Maracaibo,9.8,-71.6,Lake,Venezuela,Lake Maracaibo
Lake Poopo,-18.7,-67.1,Lake,Bolivia,Lake Poopo
Lagoa dos Patos,-30.25,-51.1,Lagoon,Brazil,Lagoa dos Patos
Lake General Carrera,-46.65,-72.05,Lake,Chile_Argentina,Lake General Carrera
Lake Llanquihue,-41.1,-72.8,Lake,Chile,Lake Llanquihue
Lake Nahuel Huapi,-41.0,-71.0,Lake,Argentina,Lake Nahuel Huapi
Lake Argentino,-50.3,-72.4,Lake,Argentina,Lake Argentino
Laguna Mar Chiquita,-30.7,-62.8,Lake,Argentina,Laguna Mar Chiquita
Lake Eyre,-28.5,137.5,Lake,Australia,Lake Eyre
Lake Torrens,-31.0,137.9,Lake,Australia,Lake Torrens
Lake Gairdner,-32.0647,136.0575,Lake,Australia,Lake Gairdner
Lake Jindabyne,-36.4647,148.6575,Lake,Australia,Lake Jindabyne
Burley Griffin,-35.2947,149.1208,Lake,Australia,Burley Griffin
Lake Macquarie,-33.0647,151.6575,Lake,Australia,Lake Macquarie
Lake Wakatipu,-45.0647,168.6575,Lake,New_Zealand,Lake Wakatipu
Lake Te Anau,-45.4647,167.7575,Lake,New_Zealand,Lake Te Anau
Lake Wanaka,-44.7647,169.1575,Lake,New_Zealand,Lake Wanaka
Lake Rotorua,-38.0647,176.2575,Lake,New_Zealand,Lake Rotorua
Lake Tekapo,-44.0647,170.5575,Lake,New_Zealand,Lake Tekapo
Lake Pukaki,-44.1647,170.1575,Lake,New_Zealand,Lake Pukaki
Lake Nicaragua,11.5,-85.5,Lake,Nicaragua,Lake Nicaragua
Lake Managua,12.25,-86.25,Lake,Nicaragua,Lake Managua
Lake Arenal,10.5,-84.95,Lake,Costa_Rica,Lake Arenal
Gatun Lake,9.2,-79.9,Lake,Panama,Gatun Lake
Lake Amatitlan,14.45,-90.6,Lake,Guatemala,Lake Amatitlan
Lake Ilopango,13.65,-89.05,Lake,El_Salvador,Lake Ilopango
Lake Yojoa,14.9,-87.95,Lake,Honduras,Lake Yojoa
Lake Chapala,20.3,-103.0,Lake,Mexico,Lake Chapala
Lake Hazen,81.8,-71.0,Lake,Canada_Arctic,Lake Hazen
Nettilling Lake,66.5,-70.5,Lake,Canada_Arctic,Nettilling Lake
Taymyr Lake,74.5,102.5,Lake,Russia_Arctic,Taymyr Lake
Thingvallavatn,64.1667,-21.1333,Lake,Iceland,Thingvallavatn
Lake Myvatn,65.6,-17.0,Lake,Iceland,Lake Myvatn
Lake Vanda,-77.5,161.5,Lake,Antarctica,Lake Vanda
Lake Fryxell,-77.6,162.2,Lake,Antarctica,Lake Fryxell
Lake Bonney,-77.7,162.4,Lake,Antarctica,Lake Bonney
Salton Sea,33.3,-115.8,Lake,USA_California,Salton Sea
Lake Havasu,34.5,-114.3,Reservoir,USA_Arizona,Lake Havasu
Lake Texoma,33.85,-96.55,Reservoir,USA_Texas,Lake Texoma
Toledo Bend,31.5,-93.9,Reservoir,USA_Louisiana,Toledo Bend
Lake Seminole,30.8,-84.8,Reservoir,USA_Georgia,Lake Seminole
Lake Lanier,34.4,-83.9,Reservoir,USA_Georgia,Lake Lanier
Lake Norman,35.5833,-80.95,Lake,USA_North_Carolina,Lake Norman
Lake Murray,34.1,-81.2,Lake,USA_South_Carolina,Lake Murray
Lake Hartwell,34.4,-82.9,Lake,USA_South_Carolina,Lake Hartwell
Lake Keowee,34.8,-82.9,Lake,USA_South_Carolina,Lake Keowee
Lake Jocassee,35.0,-82.9,Lake,USA_South_Carolina,Lake Jocassee
Fontana Lake,35.4333,-83.8,Lake,USA_North_Carolina,Fontana Lake
Lake Gaston,36.55,-77.9,Lake,USA_North_Carolina,Lake Gaston
High Rock Lake,35.6,-80.2333,Lake,USA_North_Carolina,High Rock Lake
Lake James,35.7333,-81.9,Lake,USA_North_Carolina,Lake James
Lake Marion,33.45,-80.4,Lake,USA_South_Carolina,Lake Marion
Lake Moultrie,33.1,-79.9,Lake,USA_South_Carolina,Lake Moultrie
Lake Pend Oreille,48.15,-116.3,Lake,USA_Idaho,Lake Pend Oreille
Lake Coeur d'Alene,47.6,-116.8,Lake,USA_Idaho,Lake Coeur d'Alene
Redfish Lake,44.15,-114.9167,Lake,USA_Idaho,Redfish Lake
Sebago Lake,43.85,-70.6,Lake,USA_Maine,Sebago Lake
Rangeley Lake,45.1167,-70.65,Lake,USA_Maine,Rangeley Lake
Flagstaff Lake,45.2,-70.15,Lake,USA_Maine,Flagstaff Lake
Chesuncook Lake,45.8,-69.2,Lake,USA_Maine,Chesuncook Lake
Lake Monona,43.05,-89.3,Lake,USA_Wisconsin,Lake Monona
Green Lake,43.8,-88.95,Lake,USA_Wisconsin,Green Lake
Lake Geneva,42.5833,-88.4333,Lake,USA_Wisconsin,Lake Geneva
Iliamna Lake,59.75,-154.9167,Lake,USA_Alaska,Iliamna Lake
Becharof Lake,57.8333,-156.5,Lake,USA_Alaska,Becharof Lake
Teshekpuk Lake,70.55,-153.6,Lake,USA_Alaska,Teshekpuk Lake
Naknek Lake,58.7,-156.0,Lake,USA_Alaska,Naknek Lake
Clark Lake,58.85,-155.25,Lake,USA_Alaska,Clark Lake
Gandhi Sagar,21.1462562,79.0987399,Lake,India_Maharashtra,Ambazari Lake
Suraburdi Dam,21.1591063,78.9401245,Reservoir,India_Maharashtra,Ambazari Lake
Gorewada lake,21.1971702,79.0367993,Water,India_Maharashtra,Ambazari Lake
Ambazari Lake,21.1312249,79.0345224,Reservoir,India_Maharashtra,Ambazari Lake
Lendi Talav,21.1603006,79.1103859,Reservoir,India_Maharashtra,Ambazari Lake
Sakkardara Lake,21.1218473,79.1152792,Water,India_Maharashtra,Ambazari Lake
Sonegaon Lake,21.1003527,79.0520974,Lake,India_Maharashtra,Ambazari Lake
Naag River,21.1390227,79.084195,Water,India_Maharashtra,Ambazari Lake
Ash Pond,21.2367233,79.1472961,Reservoir,India_Maharashtra,Ambazari Lake
Naag River,21.1383626,79.0743732,Water,India_Maharashtra,Ambazari Lake
Baradwari Lake,21.1494024,79.1798242,Reservoir,India_Maharashtra,Ambazari Lake
Venna Dam,21.1538342,78.8631191,Reservoir,India_Maharashtra,Ambazari Lake
Bhivkund Dam,21.055829,78.8689983,Reservoir,India_Maharashtra,Ambazari Lake
rainwater harvesting,21.1015555,79.0664812,Water,India_Maharashtra,Ambazari Lake
super water solutions,21.1033169,79.0648469,Water,India_Maharashtra,Ambazari Lake
Koradi Lake,21.259485,79.0927286,Lake,India_Maharashtra,Ambazari Lake
Futala Lake,21.1544109,79.0408033,Lake,India_Maharashtra,Ambazari Lake
Fallen Leaf Lake,38.9004214,-120.0618055,Lake,USA_California,Lake Tahoe
Cascade Lake,38.9404104,-120.0919426,Lake,USA_California,Lake Tahoe
Washoe Lake,39.2759212,-119.7948106,Lake,USA_California,Lake Tahoe
Floating Island Lake,38.9021487,-120.078744,Lake,USA_California,Lake Tahoe
Loon Lake,38.9998587,-120.3095786,Lake,USA_California,Lake Tahoe
Incline Meadow,39.2946317,-119.9269675,Water,USA_California,Lake Tahoe
East Peak Lake,38.9411073,-119.8947716,Lake,USA_California,Lake Tahoe
Ellis Lake,39.0676495,-120.201643,Lake,USA_California,Lake Tahoe
Lake Schmidell,38.9289838,-120.2086547,Reservoir,USA_California,Lake Tahoe
Lake Tallac,38.9262545,-120.012231,Water,USA_California,Lake Tahoe
Shirley Lake,39.2021349,-120.2700433,Water,USA_California,Lake Tahoe
Polar Bear Lake,39.1882039,-120.2672673,Reservoir,USA_California,Lake Tahoe
Lake Cushing,39.1954808,-120.2371273,Water,USA_California,Lake Tahoe
Alta Morris Lake,38.8936134,-120.1385927,Water,USA_California,Lake Tahoe
Dicks Lake,38.91163,-120.1432119,Lake,USA_California,Lake Tahoe
Fontanillis Lake,38.9165068,-120.1505278,Water,USA_California,Lake Tahoe
Fontanillis Lake,38.9186818,-120.1546345,Water,USA_California,Lake Tahoe
Fontanillis Lake,38.9175146,-120.1545509,Water,USA_California,Lake Tahoe
Fontanillis Lake,38.9189419,-120.155886,Water,USA_California,Lake Tahoe
Kalmia Lake,38.9107343,-120.125017,Water,USA_California,Lake Tahoe
Snow Lake,38.9175525,-120.114417,Lake,USA_California,Lake Tahoe
Tallac Lake,38.9121788,-120.1120503,Lake,USA_California,Lake Tahoe
Lake Lois,38.9163481,-120.2003265,Lake,USA_California,Lake Tahoe
Leland Lakes,38.9357482,-120.2184065,Water,USA_California,Lake Tahoe
Leland Lakes,38.9326171,-120.2178519,Water,USA_California,Lake Tahoe
McConnell Lake,38.9438806,-120.2262585,Water,USA_California,Lake Tahoe
4-Q Lakes,38.9427844,-120.2061808,Water,USA_California,Lake Tahoe
4-Q Lakes,38.9440609,-120.1983205,Water,USA_California,Lake Tahoe
4-Q Lakes,38.9426431,-120.204016,Water,USA_California,Lake Tahoe
4-Q Lakes,38.9427195,-120.2025532,Water,USA_California,Lake Tahoe
4-Q Lakes,38.9437226,-120.2015486,Water,USA_California,Lake Tahoe
4-Q Lakes,38.9413584,-120.1969351,Water,USA_California,Lake Tahoe
Granite Lake,38.9376486,-120.1101869,Lake,USA_California,Lake Tahoe
Cliff Lake,38.9759839,-120.1481563,Water,USA_California,Lake Tahoe
Grouse Lakes,38.9612755,-120.1352393,Water,USA_California,Lake Tahoe
Grouse Lakes,38.9571605,-120.1342696,Water,USA_California,Lake Tahoe
Lake Genevieve,38.99713,-120.1612094,Water,USA_California,Lake Tahoe
Phipps Lake,38.9609347,-120.1462415,Lake,USA_California,Lake Tahoe
Rubicon Lake,38.9668209,-120.1340926,Water,USA_California,Lake Tahoe
Shadow Lake,38.9885742,-120.1472419,Water,USA_California,Lake Tahoe
Stony Ridge Lake,38.9794219,-120.1388936,Reservoir,USA_California,Lake Tahoe
Fox Lake,38.9934765,-120.2279204,Water,USA_California,Lake Tahoe
Highland Lake,38.9567332,-120.241654,Lake,USA_California,Lake Tahoe
Horsehoe Lake,38.9539738,-120.2214522,Water,USA_California,Lake Tahoe
Lake Zitella,38.9591358,-120.2256902,Water,USA_California,Lake Tahoe
Fawn Lake,39.0087689,-120.2509666,Water,USA_California,Lake Tahoe
Hidden Lake,39.0036398,-120.2801668,Water,USA_California,Lake Tahoe
Lake Winifred,39.0023638,-120.2711318,Water,USA_California,Lake Tahoe
Shadow Lake,38.9699488,-120.2729385,Water,USA_California,Lake Tahoe
Helen Lake,38.9838859,-120.2489365,Water,USA_California,Lake Tahoe
Lily Lake,38.8757148,-120.0815213,Water,USA_California,Lake Tahoe
Duck Lake,39.0097677,-120.1802194,Water,USA_California,Lake Tahoe
Lost Lake,39.0139031,-120.1815438,Lake,USA_California,Lake Tahoe
Buck Lake,39.0513084,-120.1911128,Water,USA_California,Lake Tahoe
Lake Louise,39.0745957,-120.1875201,Water,USA_California,Lake Tahoe
Lily Lake,39.0382658,-120.1903932,Lake,USA_California,Lake Tahoe
McKinney Lake,39.0407455,-120.1771813,Lake,USA_California,Lake Tahoe
Quail Lake,39.0698885,-120.16591,Reservoir,USA_California,Lake Tahoe
Hidden Lake,39.2077704,-120.2169383,Lake,USA_California,Lake Tahoe
Dollar Reservoir,39.2012164,-120.10902,Reservoir,USA_California,Lake Tahoe
Watson Lake,39.2248212,-120.1376344,Lake,USA_California,Lake Tahoe
Ross Gold Park Duck Pond,39.1261791,-119.7667313,Water,USA_California,Lake Tahoe
Little Needle Lake,39.1812307,-120.2994056,Water,USA_California,Lake Tahoe
Mountain Meadow Lake,39.2169419,-120.2739312,Lake,USA_California,Lake Tahoe
Lily Pond,39.0347395,-120.1624255,Water,USA_California,Lake Tahoe
Miller Lake,39.0351714,-120.2002952,Lake,USA_California,Lake Tahoe
Richardson Lake,39.0228672,-120.2122713,Lake,USA_California,Lake Tahoe
Estelle Lake,39.1635931,-120.2503187,Water,USA_California,Lake Tahoe
Lake Glen,39.1559862,-119.770104,Lake,USA_California,Lake Tahoe
Bailey Fishing Pond,39.114565,-119.7741089,Lake,USA_California,Lake Tahoe
Twin Lakes,39.2128389,-119.9039779,Lake,USA_California,Lake Tahoe
Twin Lakes,39.2134587,-119.9019783,Lake,USA_California,Lake Tahoe
Hobart Creek Reservoir,39.194077,-119.8664761,Reservoir,USA_California,Lake Tahoe
Spooner Lake,39.1075535,-119.908873,Reservoir,USA_California,Lake Tahoe
Round Hill Effluent Reservoir,38.986025,-119.9252025,Reservoir,USA_California,Lake Tahoe
Witch's Pond,38.8854137,-120.0743013,Water,USA_California,Lake Tahoe
Mud Lake,39.2936778,-119.9534824,Lake,USA_California,Lake Tahoe
Mud Lakes,39.0186482,-120.2853357,Water,USA_California,Lake Tahoe
Mud Lakes,39.0198455,-120.2812845,Water,USA_California,Lake Tahoe
Gray Lake,39.2969216,-119.9618492,Lake,USA_California,Lake Tahoe
Fontaine de Milan,46.515285,6.6226377,Water,Switzerland,Lake Geneva
Étang de Peccau,46.5612103,6.6904449,Water,Switzerland,Lake Geneva
Lac Coffy,46.6159575,6.5874499,Water,Switzerland,Lake Geneva
Lac à Thonney,46.5821319,6.5873646,Water,Switzerland,Lake Geneva
Étang de Jordillon,46.5096687,6.7125829,Water,Switzerland,Lake Geneva
La Venoge,46.6183898,6.4123449,Water,Switzerland,Lake Geneva
Lac du Jotty,46.2955677,6.6172027,Reservoir,Switzerland,Lake Geneva
Port de St-Saphorin,46.4723948,6.798042,Water,Switzerland,Lake Geneva
Étang du Sépey,46.6148293,6.4894604,Water,Switzerland,Lake Geneva
Canal Hollandais,46.5391893,6.6139891,Water,Switzerland,Lake Geneva
Étang de la Tuilière,46.6490515,6.6122385,Water,Switzerland,Lake Geneva
Lac de la Crossetaz,46.2387048,6.4563308,Water,Switzerland,Lake Geneva
Décantation,46.6227154,6.4182274,Water,Switzerland,Lake Geneva
Décantation,46.6227706,6.4179511,Water,Switzerland,Lake Geneva
Lac de Darbon,46.3438393,6.7474499,Lake,Switzerland,Lake Geneva
Retenue collinaire de Pelluaz,46.3416055,6.7100271,Water,Switzerland,Lake Geneva
Lac de Fontaine,46.3234013,6.7432936,Lake,Switzerland,Lake Geneva
Lac de la Beunaz,46.3676455,6.6549341,Water,Switzerland,Lake Geneva
Lac Noir,46.3668257,6.6525793,Water,Switzerland,Lake Geneva
Retenue collinaire des Chalets des Mémises,46.3789932,6.737704,Reservoir,Switzerland,Lake Geneva
Étang de la Dame,46.3607658,6.4797716,Water,Switzerland,Lake Geneva
Le Voua Bénit,46.3394655,6.5109346,Water,Switzerland,Lake Geneva
Le Voua de la Motte,46.3372253,6.4999399,Water,Switzerland,Lake Geneva
Retenue collinaire des Chalets des Mémises,46.3796464,6.7377742,Reservoir,Switzerland,Lake Geneva
Lac de la Case,46.3453865,6.7330649,Water,Switzerland,Lake Geneva
Lac de Lovenex,46.353262,6.7903277,Lake,Switzerland,Lake Geneva
Retenue collinaire du col du Corbier,46.2855791,6.6495852,Water,Switzerland,Lake Geneva
bomelet,46.5388629,6.5195803,Water,Switzerland,Lake Geneva
Étang du Gresaley,46.5611229,6.7276613,Water,Switzerland,Lake Geneva
Réservoir de Haute-Pierre,46.5308583,6.4910096,Reservoir,Switzerland,Lake Geneva
Grande Gouille,46.3659014,6.6478155,Water,Switzerland,Lake Geneva
Bassin du barrage de l'Aubonne,46.5170271,6.3620737,Reservoir,Switzerland,Lake Geneva
Bassin de rétention du Petit Bois,46.5247506,6.50849,Water,Switzerland,Lake Geneva
Retenue collinaire du Bois Noir,46.242416,6.4673688,Water,Switzerland,Lake Geneva
Retenue collinaire des Pellys,46.3457251,6.6956053,Water,Switzerland,Lake Geneva
Lac de Bret,46.5131815,6.7732111,Lake,Switzerland,Lake Geneva
Bagne du Fuzet,46.2453586,6.3853925,Water,Switzerland,Lake Geneva
Fontaine de Granit,46.5175491,6.596267,Water,Switzerland,Lake Geneva
Lac Panda,46.660151,6.5305109,Water,Switzerland,Lake Geneva
Étang de la St-Prex,46.668002,6.5532356,Water,Switzerland,Lake Geneva
Étang du Bois Neuf,46.6098389,6.6053507,Water,Switzerland,Lake Geneva
Étang Sandro,46.3146288,6.3120405,Water,Switzerland,Lake Geneva
Étang de Cérézy,46.3397894,6.3452457,Water,Switzerland,Lake Geneva
Étang des Bas-Monts,46.5333555,6.694086,Water,Switzerland,Lake Geneva
Étang de Chez Portay,46.3537961,6.5937431,Water,Switzerland,Lake Geneva
Étang du Ruz de Palud,46.6640846,6.4776269,Reservoir,Switzerland,Lake Geneva
Milieu du monde,46.6633789,6.5146231,Water,Switzerland,Lake Geneva
Retenue collinaire des Chalets des Mémises,46.3784091,6.7407164,Reservoir,Switzerland,Lake Geneva
Lagune de Cervens,46.2874704,6.4318982,Water,Switzerland,Lake Geneva
Le Larry,46.6442098,6.6343471,Water,Switzerland,Lake Geneva
Lac de la Joux,46.3606617,6.7557717,Water,Switzerland,Lake Geneva
Le Petit Lac,46.2940032,6.4165833,Water,Switzerland,Lake Geneva
Puisoir d'Orcier,46.3078835,6.4876745,Water,Switzerland,Lake Geneva
Étang des Paudex,46.5393481,6.5943261,Water,Switzerland,Lake Geneva
Arboretum de Riex,46.5544327,6.7680665,Water,Switzerland,Lake Geneva
Étang du Château,46.3945657,6.2524932,Water,Switzerland,Lake Geneva
La Vuachère,46.5252043,6.6510162,Water,Switzerland,Lake Geneva
Source de l'Aubonne,46.5329138,6.3400862,Water,Switzerland,Lake Geneva
La Gouille,46.5559423,6.5482761,Water,Switzerland,Lake Geneva
Le Larry,46.6439066,6.6337743,Water,Switzerland,Lake Geneva
Port des Pêcheurs,46.3599708,6.4265152,Water,Switzerland,Lake Geneva
Retenue collinaire d'Hirmentaz,46.23789,6.4982355,Water,Switzerland,Lake Geneva
Lac du Moulin de Maravant,46.3632032,6.5326581,Water,Switzerland,Lake Geneva
Le Léman,46.361359,6.5394684,Lake,Switzerland,Lake Geneva
Lac de Sauvabelin,46.5375992,6.63814,Lake,Switzerland,Lake Geneva
Port des Pierrettes,46.5169597,6.5780127,Water,Switzerland,Lake Geneva
Compagnie générale de navigation sur le lac Léman,46.5076281,6.6192857,Water,Switzerland,Lake Geneva
Port du Vieux-Stand,46.5028769,6.679473,Water,Switzerland,Lake Geneva
Lausanne-Ouchy,46.5051149,6.626559,Water,Switzerland,Lake Geneva
Port de Lutry,46.5013841,6.6851012,Water,Switzerland,Lake Geneva
Port du Bief,46.5157076,6.5131928,Water,Switzerland,Lake Geneva
La Dranse,46.3643864,6.5504288,Water,Switzerland,Lake Geneva
